,gene_id,database,kegg_id
787,Synpcc7942_0280,KEGG_pathway,map00760
788,Synpcc7942_0281,KEGG_pathway,-
801,Synpcc7942_0282,KEGG_pathway,map00260
802,Synpcc7942_0282,KEGG_pathway,map00460
803,Synpcc7942_0282,KEGG_pathway,map00630
804,Synpcc7942_0282,KEGG_pathway,map00670
805,Synpcc7942_0282,KEGG_pathway,map00680
806,Synpcc7942_0282,KEGG_pathway,map01100
807,Synpcc7942_0282,KEGG_pathway,map01110
808,Synpcc7942_0282,KEGG_pathway,map01120
809,Synpcc7942_0282,KEGG_pathway,map01130
810,Synpcc7942_0282,KEGG_pathway,map01200
811,Synpcc7942_0282,KEGG_pathway,map01230
812,Synpcc7942_0282,KEGG_pathway,map01523
813,Synpcc7942_0283,KEGG_pathway,-
814,Synpcc7942_0284,KEGG_pathway,-
815,Synpcc7942_0285,KEGG_pathway,-
816,Synpcc7942_0286,KEGG_pathway,-
820,Synpcc7942_0288,KEGG_pathway,map00520
821,Synpcc7942_0288,KEGG_pathway,map01100
822,Synpcc7942_0288,KEGG_pathway,map01130
826,Synpcc7942_0289,KEGG_pathway,map02024
827,Synpcc7942_0289,KEGG_pathway,map03060
828,Synpcc7942_0289,KEGG_pathway,map03070
831,Synpcc7942_0290,KEGG_pathway,map00240
832,Synpcc7942_0290,KEGG_pathway,map01100
833,Synpcc7942_0291,KEGG_pathway,-
836,Synpcc7942_0292,KEGG_pathway,map00770
837,Synpcc7942_0292,KEGG_pathway,map01100
838,Synpcc7942_0293,KEGG_pathway,-
841,Synpcc7942_0294,KEGG_pathway,map00195
842,Synpcc7942_0294,KEGG_pathway,map01100
850,Synpcc7942_0295,KEGG_pathway,map00230
851,Synpcc7942_0295,KEGG_pathway,map00261
852,Synpcc7942_0295,KEGG_pathway,map00450
853,Synpcc7942_0295,KEGG_pathway,map00920
854,Synpcc7942_0295,KEGG_pathway,map01100
855,Synpcc7942_0295,KEGG_pathway,map01120
856,Synpcc7942_0295,KEGG_pathway,map01130
857,Synpcc7942_0296,KEGG_pathway,-
858,Synpcc7942_0297,KEGG_pathway,-
859,Synpcc7942_0298,KEGG_pathway,-
860,Synpcc7942_0299,KEGG_pathway,-
861,Synpcc7942_0300,KEGG_pathway,-
865,Synpcc7942_0301,KEGG_pathway,map03030
866,Synpcc7942_0301,KEGG_pathway,map03430
867,Synpcc7942_0301,KEGG_pathway,map03440
868,Synpcc7942_0302,KEGG_pathway,-
869,Synpcc7942_0303,KEGG_pathway,-
870,Synpcc7942_0304,KEGG_pathway,-
871,Synpcc7942_0307,KEGG_pathway,-
