"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Synpcc7942_0317",191.546624130427,1.07417304221713,0.276403669634985,3.88624739908723,0.000101805755622548,0.00118050413150146
"Synpcc7942_0325",813.83576898919,5.13124108519338,1.40523393922767,3.65152089054549,0.000260691888543033,0.00252823733361552
"Synpcc7942_0326",6714.10905323777,5.09944529941051,1.42409746295262,3.58082605444553,0.000342509629518499,0.00301476297665293
"Synpcc7942_0327",6547.33957476355,6.50669169314286,1.38818998872465,4.68717664440199,2.76999868849226e-06,7.10344855981622e-05
"Synpcc7942_0328",12370.8259844025,4.16169472583035,1.18520353430081,3.51137556157009,0.000445794116872749,0.00361377784103228
"Synpcc7942_0329",882.296329254068,1.17706791644829,0.31079850657696,3.78723800642468,0.000152331170263094,0.00163159530558904
"Synpcc7942_0330",5766.08736119265,4.89987351470514,1.31409702687005,3.72869994719931,0.000192470161108442,0.00196673532442994
"Synpcc7942_0331",10394.7839426604,5.52802470298877,1.29400122486651,4.27203977612854,1.93693015049809e-05,0.000331140558421692
"Synpcc7942_0332",1469.67758579807,3.78446024306138,1.34121008319249,2.82167595553204,0.00477734221462829,0.020683720270152
"Synpcc7942_0333",1704.38525954115,4.31518426856149,1.22405739054687,3.52531204981621,0.000422984211318614,0.00349256622782273
"Synpcc7942_0336",6701.60158948005,2.73580498678122,1.09794326674962,2.4917544190424,0.0127113893001458,0.0409930777067581
"Synpcc7942_0337",3081.9839043904,3.28142191239538,1.09153873771685,3.00623495897092,0.00264504528323137,0.0137346205330931
"Synpcc7942_0344",1198.5237067683,1.86018691922002,0.291858935533181,6.37358220957583,1.8466321626158e-10,2.58261104225711e-08
"Synpcc7942_0346",265.66237875322,1.34418424139752,0.374080099116163,3.59330593788181,0.000326508845408947,0.00290238597121769
"Synpcc7942_0347",296.679636845547,2.60786524165515,1.0282518439504,2.53621256017991,0.011205869371936,0.0374981852132412
"Synpcc7942_0348",1448.37884672115,1.78512934839917,0.714608407562604,2.49805254109438,0.01248776836249,0.0405158073740085
"Synpcc7942_0352",461.327522606126,1.26616675851431,0.288608363351925,4.38714507025691,1.14848192218206e-05,0.000223444361335204
"Synpcc7942_0361",430.392556523325,3.11677035968693,1.1759154780499,2.65050542991039,0.00803714353819193,0.0301064447841967
"Synpcc7942_0371",1413.08114606003,-1.40703776144114,0.574884194879424,-2.44751512386986,0.0143845088107563,0.0450012694286723
"Synpcc7942_0372",1619.76480274009,-1.55388193622385,0.52557893350325,-2.95651487753979,0.00311137220838908,0.015306319894598
"Synpcc7942_0385",6310.67817683293,3.28636954481873,1.13811748984796,2.88754858275463,0.00388256641665499,0.0179430550342549
"Synpcc7942_0389",107.190648067773,2.11446121356171,0.612322895532964,3.45318006069541,0.000554019062191509,0.00427043017012935
"Synpcc7942_0391",1557.54336628249,1.60807008529318,0.633965932763227,2.53652444427761,0.0111958926186349,0.0374981852132412
"Synpcc7942_0410",142.647479487592,1.39002411810815,0.565218914150728,2.4592668138092,0.0139221106964971,0.04409770692109
"Synpcc7942_0412",200.152170523106,1.0607189416066,0.370459584487945,2.86325144771929,0.00419317654220861,0.0188269391213306
"Synpcc7942_0413",729.571993595017,1.59342829957843,0.539439564475538,2.95385879070182,0.00313827568481187,0.0153856273003553
"Synpcc7942_0429",817.262351580435,4.19382730074849,0.989926510657891,4.23650367537014,2.27027206382613e-05,0.000380497428189207
"Synpcc7942_0442",12889.642193197,4.20950870808085,1.28907820722973,3.2655184801605,0.00109263875563395,0.00719522854635984
"Synpcc7942_0446",1071.31198982017,4.19855716666426,1.3967217214759,3.00600835664507,0.00264701723059988,0.0137346205330931
"Synpcc7942_0451",244.29154138326,1.05246039276705,0.219095998875536,4.8036495333944,1.55799436070259e-06,4.37386416841454e-05
"Synpcc7942_0470",326.161856022715,2.916186718868,0.518203320642838,5.62749523729496,1.82845209973447e-08,1.08366261110929e-06
"Synpcc7942_0483",497.976269319584,2.01993334469559,0.525584874942821,3.84321056597251,0.000121435193534117,0.0013724419585118
"Synpcc7942_0490",6010.88633930033,-1.11958495549258,0.3071173325877,-3.64546326988196,0.00026691053712512,0.00256061295867875
"Synpcc7942_0491",18.6963659072562,-2.22014669169395,0.593179000924437,-3.7427938079972,0.000181985555135631,0.00186687855090262
"Synpcc7942_0504",990.366256971543,1.19271029903655,0.423253853880444,2.8179549650916,0.00483305881875811,0.0208572295625046
