Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRX2356920	SRX2356920_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13539891.0	0.0	20-50	54.0	3.319095501049423	49.5255835515958	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356921	SRX2356921_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9528472.0	0.0	20-50	55.0	6.274985485090437	49.379205711052094	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX2356922	SRX2356922_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12374908.0	0.0	20-50	55.0	6.517902522220336	49.44993231464832	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356923	SRX2356923_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11500208.0	0.0	20-50	55.0	5.66592411585412	49.517451684352146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356924	SRX2356924_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11365808.0	0.0	20-50	55.0	5.976335062653068	49.46404611093202	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX2356925	SRX2356925_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11215629.0	0.0	20-50	55.0	5.216546921994226	49.48488158800545	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356926	SRX2356926_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14287091.0	0.0	20-50	55.0	6.077865819539825	49.43463375434509	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX2356927	SRX2356927_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11502743.0	0.0	20-50	54.0	5.063010746066668	49.4802127631644	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356928	SRX2356928_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13135996.0	0.0	20-50	54.0	4.899715911409417	49.47610207859381	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356929	SRX2356929_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15185407.0	0.0	20-50	54.0	5.255940351013982	49.504953143501524	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
