Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX4105517	18311303.0	2053631.0	11.22	16257672.0	88.78
SRX4105518	14559724.0	3967377.0	27.25	10592347.0	72.75
SRX4105519	2353976.0	595794.0	25.31	1758182.0	74.69
SRX4105520	13620440.0	1275089.0	9.36	12345351.0	90.64
SRX4105521	9670967.0	803519.0	8.31	8867448.0	91.69
SRX4105522	17825907.0	3443372.0	19.32	14382535.0	80.68
SRX4105523	11029356.0	1071009.0	9.71	9958347.0	90.29
SRX4105524	13276464.0	867740.0	6.54	12408724.0	93.46
SRX4105525	12280213.0	9207542.0	74.98	3072671.0	25.02
SRX4105526	21743377.0	16687836.0	76.75	5055541.0	23.25
SRX4105527	17804954.0	14819922.0	83.23	2985032.0	16.77
SRX4105528	17323537.0	12978403.0	74.92	4345134.0	25.08
SRX4105529	20868876.0	17241207.0	82.62	3627669.0	17.38
SRX4105530	24433720.0	21640121.0	88.57	2793599.0	11.43
SRX4105531	5192752.0	372221.0	7.17	4820531.0	92.83
SRX4105532	3052717.0	214421.0	7.02	2838296.0	92.98
SRX4105533	16182366.0	12293928.0	75.97	3888438.0	24.03
SRX4105534	7692735.0	2090102.0	27.17	5602633.0	72.83
SRX4105535	6680652.0	1795510.0	26.88	4885142.0	73.12
SRX4105536	15561205.0	12927704.0	83.08	2633501.0	16.92
SRX4105537	9097860.0	6831830.0	75.09	2266030.0	24.91
SRX4105538	18425735.0	15272627.0	82.89	3153108.0	17.11
SRX4105539	12025582.0	10610360.0	88.23	1415222.0	11.77
SRX4105540	17557688.0	10484479.0	59.71	7073209.0	40.29
SRX4105541	834150.0	696314.0	83.48	137836.0	16.52
SRX4105542	3026512.0	2903697.0	95.94	122815.0	4.06
SRX4105543	2740879.0	2600300.0	94.87	140579.0	5.13
SRX4105544	2538318.0	2437544.0	96.03	100774.0	3.97
SRX4105545	3316244.0	3150356.0	95.0	165888.0	5.0
SRX4105546	3184302.0	3010829.0	94.55	173473.0	5.45
SRX4105547	14484666.0	1575383.0	10.88	12909283.0	89.12
SRX4105548	17130163.0	2702028.0	15.77	14428135.0	84.23
SRX4105549	8364896.0	2154540.0	25.76	6210356.0	74.24
SRX4105550	13741165.0	2209556.0	16.08	11531609.0	83.92
SRX4105551	4489656.0	2013058.0	44.84	2476598.0	55.16
SRX4105552	16425543.0	4514460.0	27.48	11911083.0	72.52
SRX4105553	14528857.0	2809722.0	19.34	11719135.0	80.66
SRX4105554	13113365.0	2182635.0	16.64	10930730.0	83.36
SRX4105555	3358472.0	3170925.0	94.42	187547.0	5.58
SRX4105556	777456.0	678060.0	87.22	99396.0	12.78
SRX4105557	3443039.0	3299545.0	95.83	143494.0	4.17
SRX4105558	2552083.0	2369728.0	92.85	182355.0	7.15
SRX4105559	3066598.0	2861584.0	93.31	205014.0	6.69
SRX4105560	2410054.0	1818803.0	75.47	591251.0	24.53
SRX4105561	13979479.0	2978675.0	21.31	11000804.0	78.69
SRX4105562	12147672.0	1823918.0	15.01	10323754.0	84.99
SRX4105563	13200185.0	3539053.0	26.81	9661132.0	73.19
SRX4105564	10646234.0	4536193.0	42.61	6110041.0	57.39
SRX4105565	13210201.0	9002074.0	68.14	4208127.0	31.86
SRX4105566	14699737.0	3892075.0	26.48	10807662.0	73.52
SRX4105567	13096105.0	1690562.0	12.91	11405543.0	87.09
SRX4105568	15013073.0	3191934.0	21.26	11821139.0	78.74
SRX5055969	11275105.0	5236697.0	46.44	6038408.0	53.56
SRX5055970	10901590.0	5023275.0	46.08	5878315.0	53.92
SRX5055971	10912523.0	5155092.0	47.24	5757431.0	52.76
SRX5055972	9728686.0	4401666.0	45.24	5327020.0	54.76
SRX689242	1132707.0	887918.0	78.39	244789.0	21.61
SRX7119038	11275105.0	5236697.0	46.44	6038408.0	53.56
SRX7119039	10901590.0	5023277.0	46.08	5878313.0	53.92
SRX7119040	9386774.0	4254277.0	45.32	5132497.0	54.68
SRX7119041	11126621.0	5175256.0	46.51	5951365.0	53.49
SRX8650808	43349072.0	40721601.0	93.94	2627471.0	6.06
UV_control_1	12751861.0	11979573.0	93.94	772288.0	6.06
UV_control_2	9071300.0	8778467.0	96.77	292833.0	3.23
UV_control_3	11668109.0	11341595.0	97.2	326514.0	2.8
UV_exposure_2	12588392.0	12192005.0	96.85	396387.0	3.15
UV_exposure_3	11329696.0	11073933.0	97.74	255763.0	2.26
dark_4h_0110_KO_1	13340092.0	12700414.0	95.2	639678.0	4.8
dark_4h_0110_KO_2	11099544.0	10579177.0	95.31	520367.0	4.69
dark_4h_0616_KO_1	10454277.0	9756146.0	93.32	698131.0	6.68
dark_4h_0616_KO_2	12451307.0	11864185.0	95.28	587122.0	4.72
dark_4h_1684_KO_1	10173270.0	9707340.0	95.42	465930.0	4.58
dark_4h_1684_KO_2	7633047.0	7229059.0	94.71	403988.0	5.29
km_LL_1	11744332.0	11324472.0	96.42	419860.0	3.58
km_LL_2	12923458.0	12425651.0	96.15	497807.0	3.85
km_dark_4h_1	9885299.0	9239291.0	93.46	646008.0	6.54
km_dark_4h_2	12892591.0	12070594.0	93.62	821997.0	6.38
light_0110_KO_1	12295793.0	11901881.0	96.8	393912.0	3.2
light_0110_KO_2	13686087.0	13291582.0	97.12	394505.0	2.88
light_0616_KO_1	9562722.0	9017499.0	94.3	545223.0	5.7
light_0616_KO_2	12919964.0	12110299.0	93.73	809665.0	6.27
light_1684_KO_1	14194683.0	13666070.0	96.28	528613.0	3.72
light_1684_KO_2	10487002.0	10202178.0	97.28	284824.0	2.72
post_uv_2hrs_1	10177084.0	9782719.0	96.12	394365.0	3.88
post_uv_2hrs_2	8780357.0	8303920.0	94.57	476437.0	5.43
post_uv_2hrs_3	9835808.0	9280009.0	94.35	555799.0	5.65
post_uv_control_1	9492312.0	9156207.0	96.46	336105.0	3.54
post_uv_control_2	11149945.0	10498269.0	94.16	651676.0	5.84
wt_LL_1	9000373.0	8683525.0	96.48	316848.0	3.52
wt_LL_2	10369652.0	9977033.0	96.21	392619.0	3.79
wt_dark_4h_1	11921051.0	11255097.0	94.41	665954.0	5.59
wt_dark_4h_2	10582305.0	10042398.0	94.9	539907.0	5.1
