Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
SRX17839588	6557860.0	18013.0	1514270.0	4384.0	5271406.0	422425.0	4110.0
SRX17839589	8668019.0	24583.0	2011366.0	4612.0	7365497.0	461816.0	3938.0
SRX17839590	11205599.0	26523.0	1242957.0	8035.0	8252867.0	525952.0	4679.0
SRX17839591	9519736.0	65333.0	2358507.0	7593.0	7152645.0	492710.0	4623.0
SRX18913104	4735918.0	1192054.0	646049.0	53679.0	2663477.0	300834.0	7650.0
SRX18913105	5591449.0	1487293.0	781939.0	46376.0	2768970.0	324326.0	8851.0
SRX18913106	4512357.0	1509509.0	517036.0	54372.0	1990720.0	260559.0	6900.0
SRX18913107	6189426.0	910336.0	779825.0	40379.0	1138377.0	379539.0	11759.0
SRX18913108	6516231.0	1044623.0	843259.0	40869.0	1289129.0	419819.0	11838.0
SRX18913109	7533751.0	1186495.0	875807.0	51429.0	1399643.0	476357.0	16122.0
SRX18913110	5056352.0	1108762.0	644388.0	36406.0	1493953.0	255987.0	8121.0
SRX18913111	5228432.0	1213580.0	739864.0	42104.0	1389128.0	272318.0	9119.0
SRX18913112	6415765.0	1541654.0	809219.0	49758.0	1927408.0	326671.0	10987.0
SRX18913113	6819720.0	790942.0	1100488.0	28487.0	500939.0	379634.0	12370.0
SRX18913114	6332158.0	684050.0	783740.0	30711.0	1499982.0	376032.0	11936.0
SRX18913115	6228828.0	718446.0	826002.0	34549.0	1573805.0	390850.0	11911.0
SRX2356912	765838.0	8869359.0	306161.0	0.0	303539.0	51304.0	348.0
SRX2356913	482416.0	7725975.0	249088.0	0.0	230117.0	35757.0	239.0
SRX2356914	577028.0	8674879.0	318562.0	0.0	309685.0	39604.0	273.0
SRX2356915	498135.0	10320951.0	395013.0	0.0	389377.0	32308.0	251.0
SRX2356916	297130.0	7574698.0	243497.0	0.0	357265.0	17475.0	141.0
SRX2356917	302914.0	9603104.0	336597.0	0.0	637714.0	16958.0	134.0
SRX2356918	206792.0	9082722.0	328795.0	0.0	786928.0	11693.0	115.0
SRX2356919	280772.0	16138761.0	522085.0	0.0	1420609.0	17183.0	119.0
SRX2356920	202595.0	11344110.0	535189.0	0.0	1443899.0	13977.0	121.0
SRX2356921	542875.0	8151989.0	411746.0	0.0	390022.0	31460.0	380.0
SRX2356922	1047017.0	10197705.0	615518.0	0.0	449856.0	64160.0	652.0
SRX2356923	956713.0	9684352.0	466964.0	0.0	325903.0	65728.0	548.0
SRX2356924	1068127.0	9632660.0	282934.0	0.0	313396.0	68208.0	483.0
SRX2356925	846143.0	9794888.0	275119.0	0.0	243966.0	55112.0	401.0
SRX2356926	934731.0	12530177.0	416625.0	0.0	342556.0	62514.0	488.0
SRX2356927	751748.0	10119380.0	318634.0	0.0	262193.0	50490.0	298.0
SRX2356928	707869.0	11682993.0	311679.0	0.0	383899.0	49292.0	264.0
SRX2356929	680489.0	13467626.0	390024.0	0.0	602224.0	44815.0	229.0
SRX2356930	291839.0	10751250.0	311903.0	0.0	724038.0	20526.0	125.0
