Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX3211335	2.6	7034113	2278894	7034113	351705650	91776	348301304	0.9679531733425379
SRX3211336	2.6	6676557	2101843	6676557	333827850	133624	329638583	1.2549183658583307
SRX3211337	2.6	7191101	2204497	7191101	359555050	130597	356209682	0.9304188607558148
SRX3211338	2.6	9717654	2909773	9717654	485882700	186096	481034685	0.9977747715652359
SRX3211339	2.6	8587546	2585754	8587546	429377300	160876	425503044	0.9022964185577579
SRX3211340	2.6	8513652	2573953	8513652	425682600	274711	421099037	1.0767560149275541
SRX3211341	2.6	9587190	2870518	9587190	479359500	176873	475044448	0.900170331452699
SRX3211342	2.6	8242414	2497566	8242414	412120700	202795	407622935	1.0913708047181323
SRX3211343	2.6	9281711	2916159	9281711	464085550	184483	459378617	1.014238215346287
SRX3211344	2.6	5248015	1647459	5248015	262400750	150448	259798888	0.9915604280856668
SRX3211345	2.6	8945138	2802356	8945138	447256900	184240	441824926	1.2145087085297064
SRX3211346	2.6	8780350	2716185	8780350	439017500	169334	434880234	0.9423920458751645
SRX3211347	2.6	8012684	2324686	8012684	400634200	75163	396793629	0.9586228534658299
SRX3211348	2.6	8497514	2591747	8497514	424875700	109739	420857724	0.9456827020232036
SRX3211349	2.6	10515376	3297581	10515376	525768800	101942	520411811	1.0188868186929312
SRX3211350	2.6	7924537	2464667	7924537	396226850	103053	392624266	0.9092225829723555
SRX3211351	2.6	7135837	2118796	7135837	356791850	140342	352889119	1.0938397275610416
SRX3211352	2.6	7339018	2304792	7339018	366950900	88477	363555724	0.9252398617907736
SRX3211353	2.6	8596082	2740642	8596082	429804100	139778	424395296	1.2584347147921577
SRX3211354	2.6	7364811	2378648	7364811	368240550	94487	364697969	0.9620290323811432
SRX3211355	2.6	7655733	2400547	7655733	382786650	103339	376416526	1.664144765759203
SRX3211356	2.6	6415983	1980147	6415983	320799150	110117	317710147	0.9629087234177522
SRX3211357	2.6	8357692	2585022	8357692	417884600	98364	412337560	1.3274095288507881
SRX3211358	2.6	7953940	2421773	7953940	397697000	112864	394034516	0.9209232154127389
SRX3211359	2.6	9534363	2941620	9534363	476718150	137539	470305889	1.3450843019087904
SRX3211360	2.6	8234970	2517302	8234970	411748500	108375	408031139	0.9028232039703848
SRX3312459	2.6	11883392	3645483	11883392	594169600	685528	586860003	1.2302206306078265
SRX3312460	2.6	11526816	3468640	11526816	576340800	608950	570327016	1.0434423521638587
SRX3312461	2.6	13749738	4177478	13749738	687486900	587032	679982733	1.0915359987223028
SRX3312462	2.6	12961510	3878110	12961510	648075500	634453	641359821	1.036249480191737
SRX3312463	2.6	13282490	4032725	13282490	664124500	672822	656493979	1.148959419506433
SRX3312464	2.6	17158758	5296106	17158758	857937900	982065	848520231	1.0977098692108136
SRX3312465	2.6	11728914	3572111	11728914	586445700	1388178	579500742	1.1842457025433046
SRX3312466	2.6	9346598	2844118	9346598	467329900	639925	462363810	1.0626518868148602
SRX3312467	2.6	12069817	3583916	12069817	603490850	1043308	596805962	1.1077032899504606
SRX3312468	2.6	10765492	3203799	10765492	538274600	524330	533034217	0.973551975144285
